,,,,
,,,,
Investor name,🦅 [INV] Team Member (users),[INV] Cheque Size (labels),Main Geographies Targeted (labels),[BD] Vertical Interests / Vertical (labels)
Genting Ventures (Zeke Lee),Nikita Ponomarev,,"SEA, India",Agnostic
True Global,Nikita Ponomarev,,"Europe, USA","Logistics, Retail"
in5,Nikita Ponomarev,,"MENA, Middle East",Agnostic
Shenzhen Crossborder Association,Nikita Ponomarev,,"China, Global",Agnostic
Panacea,Nikita Ponomarev,,Global,"Impact, climate, Edtech, Health, Agnostic"
TripleS Ventures,Nikita Ponomarev,,Agnostic,Agnostic
Plug and Play China,Nikita Ponomarev,,"Germany, China, Europe",DeepTech
"ADIO (Abu Dhabi Investment Office, Beijing)",Nikita Ponomarev,,"MENA, China",Agnostic
SenseTime,Nikita Ponomarev,,China,"AI & ML, DeepTech"
Growth Vision,Nikita Ponomarev,,"MENA, Middle East, Central Asia",Agnostic
Oghub,Nikita Ponomarev,,"Kuwait, Middle East",Agnostic
NUS - Medicine Digital Accelerator,Nikita Ponomarev,,SEA,Health
Alcor Fund,Nikita Ponomarev,,India,Agnostic
Sunny Side Venture Partners,Nikita Ponomarev,,"MENA, Africa",Agnostic
Propeller Inc,Nikita Ponomarev,"50K-100K, 100K-500K",Middle East,Agnostic
A2D Ventures,Nikita Ponomarev,,SEA,Agnostic
The Garage,Nikita Ponomarev,,"Saudi Arabia, KSA",Agnostic
Gobi Partners (Renee),Nikita Ponomarev,,"Global, Agnostic",Agnostic
PTS Holdings,Nikita Ponomarev,50K-100K,Middle East,Agnostic
Global Ventures (Nick <> Rayan Tabbara),Nikita Ponomarev,2M-5M,"MENA, Saudi Arabia, Egypt, UAE, Nigeria",Agnostic
UM6P Ventures / OCP Group,Nikita Ponomarev,,"MAR = Morocco, Africa, North Africa, South Africa","DeepTech, Agnostic"
Yango Ventures,Nikita Ponomarev,,"MENA, Pakistan, Latam","Mobility, Agnostic"
Conduit Group,Nikita Ponomarev,,"Asia, SEA",Agnostic
Funders VC,Nikita Ponomarev,,"Latam, Agnostic",Agnostic
Higa,,,Africa,Fintech
doji.com.br,,,Latam,Agnostic
Adgaming,,,UAE,Gaming
Morgan Stanley Impact,,,"MENA, Latam, UK, USA",Agnostic
Elostud.io,,,,
